日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
201803050830,21030,21042,21024,21030,21038,21046,21032,21033
201803050831,21030,21030,21027,21030,21033,21034,21033,21033
201803050832,21030,21030,21010,21019,21033,21033,21018,21025
201803050833,21017,21025,21015,21025,21024,21030,21022,21028
201803050834,21025,21027,21025,21026,21028,21034,21028,21029
201803050835,21026,21026,21020,21026,21029,21034,21023,21031
201803050836,21026,21026,21021,21026,21031,21035,21029,21033
201803050837,21026,21030,21025,21030,21035,21035,21033,21033
201803050838,21031,21038,21031,21037,21033,21045,21033,21044
201803050839,21037,21039,21035,21037,21044,21045,21042,21045
201803050840,21037,21037,21032,21035,21045,21045,21039,21039
201803050841,21035,21040,21034,21036,21039,21044,21038,21040
201803050842,21036,21041,21026,21026,21040,21049,21032,21032
201803050843,21026,21040,21026,21029,21032,21045,21032,21034
201803050844,21029,21031,21012,21012,21034,21037,21025,21025
201803050845,21020,21021,21006,21006,21021,21034,21008,21008
201803050846,21006,21008,20980,20980,21008,21017,20985,20985
201803050847,20981,20996,20981,20996,20985,21001,20985,21000
201803050848,20996,20996,20982,20986,21000,21001,20985,20989
201803050849,20986,20995,20986,20988,20989,20999,20988,20994
201803050850,20988,20996,20987,20996,20994,20999,20991,20998
201803050851,20996,21012,20996,21005,20998,21014,20998,21009
201803050852,21005,21011,21004,21011,21009,21016,21008,21015
201803050853,21011,21017,21009,21017,21015,21019,21015,21019
201803050854,21016,21020,21011,21015,21019,21024,21018,21020
201803050855,21015,21015,21007,21009,21020,21020,21013,21013
201803050856,21009,21011,21004,21011,21013,21015,21010,21014
201803050857,21011,21011,21000,21001,21015,21015,21005,21005
201803050858,21001,21002,20995,21000,21005,21006,21001,21005
201803050859,21000,21017,21000,21017,21005,21026,21005,21026
201803050900,21023,21030,21019,21021,21028,21036,21024,21028
201803050901,21021,21073,21021,21073,21027,21078,21027,21078
201803050902,21073,21090,21073,21090,21078,21097,21077,21095
201803050903,21090,21092,21081,21081,21095,21098,21085,21087
201803050904,21081,21085,21072,21080,21087,21089,21076,21085
201803050905,21080,21088,21078,21088,21085,21093,21083,21093
201803050906,21085,21094,21082,21091,21092,21098,21087,21095
201803050907,21091,21091,21071,21077,21095,21096,21075,21081
201803050908,21077,21077,21057,21061,21081,21081,21061,21067
201803050909,21061,21064,21052,21064,21067,21069,21058,21069
201803050910,21064,21065,21040,21040,21069,21070,21043,21043
201803050911,21040,21051,21040,21042,21043,21054,21043,21046
201803050912,21044,21077,21033,21076,21048,21084,21038,21082
201803050913,21076,21076,21060,21065,21081,21081,21065,21070
201803050914,21066,21066,21055,21060,21070,21071,21060,21063
201803050915,21060,21065,21051,21064,21064,21070,21054,21070
201803050916,21065,21079,21065,21069,21070,21083,21070,21074
201803050917,21069,21090,21069,21090,21075,21094,21075,21094
201803050918,21090,21126,21089,21126,21094,21128,21093,21128
201803050919,21125,21157,21125,21146,21129,21159,21129,21151
201803050920,21146,21154,21135,21142,21151,21159,21140,21146
201803050921,21142,21156,21140,21151,21146,21160,21145,21155
201803050922,21151,21152,21127,21130,21154,21156,21131,21135
201803050923,21134,21149,21127,21131,21139,21154,21130,21135
201803050924,21131,21153,21131,21145,21136,21158,21135,21150
201803050925,21146,21149,21126,21129,21151,21154,21128,21134
201803050926,21129,21135,21121,21122,21135,21140,21125,21126
201803050927,21122,21135,21121,21131,21126,21139,21125,21134
201803050928,21131,21131,21121,21121,21134,21136,21126,21126
201803050929,21122,21129,21116,21117,21125,21135,21119,21119
201803050930,21117,21117,21107,21112,21119,21119,21112,21117
201803050931,21112,21140,21112,21131,21116,21145,21116,21135
201803050932,21131,21131,21114,21115,21135,21136,21120,21121
201803050933,21115,21116,21112,21115,21120,21121,21117,21120
201803050934,21115,21118,21112,21112,21119,21124,21116,21117
201803050935,21112,21125,21111,21124,21117,21130,21115,21130
201803050936,21120,21126,21118,21120,21128,21130,21123,21124
201803050937,21120,21120,21103,21106,21124,21124,21106,21111
201803050938,21105,21106,21101,21102,21110,21112,21104,21104
201803050939,21102,21105,21081,21082,21104,21109,21085,21086
201803050940,21083,21090,21080,21087,21088,21095,21084,21092
201803050941,21086,21092,21082,21084,21091,21097,21086,21089
201803050942,21084,21086,21073,21085,21089,21092,21077,21090
201803050943,21085,21085,21070,21074,21090,21090,21075,21079
201803050944,21074,21074,21060,21061,21079,21079,21063,21064
201803050945,21061,21062,21049,21054,21064,21064,21053,21058
201803050946,21054,21059,21050,21052,21058,21063,21054,21054
201803050947,21052,21060,21051,21055,21054,21065,21054,21061
201803050948,21055,21077,21052,21068,21061,21082,21056,21074
201803050949,21065,21065,21046,21051,21071,21071,21050,21054
201803050950,21050,21060,21050,21060,21054,21066,21053,21066
201803050951,21060,21079,21060,21079,21067,21083,21067,21083
201803050952,21079,21079,21060,21061,21083,21083,21065,21065
201803050953,21056,21074,21056,21066,21060,21080,21060,21071
201803050954,21065,21065,21055,21062,21070,21070,21060,21067
201803050955,21062,21070,21052,21064,21066,21075,21059,21070
201803050956,21063,21075,21055,21074,21069,21079,21060,21079
201803050957,21074,21074,21029,21035,21079,21079,21033,21039
201803050958,21035,21035,21019,21019,21039,21039,21023,21024
201803050959,21019,21027,21014,21021,21024,21031,21018,21025
201803051000,21021,21035,21020,21031,21023,21040,21023,21034
201803051001,21030,21035,21025,21025,21035,21039,21029,21029
201803051002,21025,21025,21003,21015,21029,21029,21009,21019
201803051003,21015,21020,21000,21001,21019,21023,21003,21004
201803051004,21002,21004,20994,20998,21004,21009,20999,21004
201803051005,20996,21010,20990,21010,20999,21014,20995,21013
201803051006,21009,21015,21000,21011,21013,21018,21005,21015
201803051007,21011,21014,21006,21011,21015,21019,21010,21017
201803051008,21011,21015,21000,21005,21017,21019,21005,21011
201803051009,21007,21007,20991,21000,21012,21012,20996,21006
201803051010,21000,21016,21000,21007,21006,21022,21006,21010
201803051011,21007,21011,21001,21002,21010,21016,21006,21006
201803051012,21002,21006,20992,20997,21006,21011,21000,21004
201803051013,20999,21010,20999,21010,21005,21016,21005,21016
201803051014,21010,21010,20993,21002,21016,21016,21000,21009
201803051015,21002,21018,20991,21015,21006,21023,20995,21021
201803051016,21014,21020,21004,21019,21020,21024,21010,21023
201803051017,21019,21021,21014,21019,21023,21024,21021,21023
201803051018,21019,21030,21015,21025,21023,21034,21020,21031
201803051019,21023,21029,21022,21025,21030,21034,21028,21030
201803051020,21025,21037,21025,21030,21030,21043,21030,21035
201803051021,21030,21030,21012,21012,21036,21036,21015,21016
201803051022,21012,21014,21010,21014,21015,21019,21015,21019
201803051023,21014,21016,21001,21001,21019,21021,21003,21003
201803051024,21001,21004,21001,21002,21005,21010,21005,21005
201803051025,21002,21004,21001,21002,21005,21009,21005,21006
201803051026,21002,21011,21002,21009,21006,21018,21006,21016
201803051027,21009,21022,21009,21017,21015,21027,21015,21021
201803051028,21017,21017,21007,21012,21021,21021,21011,21018
201803051029,21013,21014,21005,21006,21020,21023,21009,21009
201803051030,21006,21036,21006,21036,21009,21041,21009,21041
201803051031,21035,21041,21032,21041,21040,21044,21036,21044
201803051032,21041,21052,21041,21049,21044,21054,21043,21053
201803051033,21049,21054,21042,21045,21053,21059,21047,21049
201803051034,21045,21059,21045,21055,21049,21063,21049,21059
201803051035,21055,21056,21037,21037,21060,21061,21041,21041
201803051036,21037,21050,21037,21045,21041,21054,21041,21050
201803051037,21044,21056,21042,21056,21050,21062,21049,21062
201803051038,21056,21060,21046,21049,21062,21064,21051,21054
201803051039,21049,21055,21041,21050,21055,21060,21046,21055
201803051040,21050,21052,21042,21044,21055,21059,21045,21048
201803051041,21044,21065,21041,21062,21048,21070,21045,21066
