日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202111121015,25508,25508,25451,25490,25512,25514,25456,25495
202111121016,25490,25522,25480,25521,25495,25528,25486,25526
202111121017,25521,25526,25497,25500,25525,25530,25501,25504
202111121018,25500,25509,25477,25482,25504,25513,25481,25487
202111121019,25482,25498,25480,25490,25487,25502,25483,25496
202111121020,25490,25490,25462,25473,25496,25496,25467,25478
202111121021,25474,25493,25473,25476,25479,25496,25477,25481
202111121022,25476,25480,25474,25479,25481,25484,25479,25482
202111121023,25479,25479,25472,25474,25482,25482,25475,25478
202111121024,25474,25491,25472,25491,25478,25495,25476,25495
202111121025,25491,25491,25477,25489,25495,25495,25481,25492
202111121026,25489,25491,25485,25491,25492,25495,25488,25495
202111121027,25491,25499,25490,25490,25495,25503,25493,25494
202111121028,25490,25497,25487,25487,25494,25500,25490,25490
202111121029,25487,25488,25473,25473,25490,25491,25477,25477
202111121030,25469,25485,25437,25470,25472,25489,25441,25475
202111121031,25470,25498,25459,25479,25475,25501,25464,25482
202111121032,25479,25489,25440,25445,25482,25494,25444,25450
202111121033,25446,25454,25430,25431,25449,25457,25434,25435
202111121034,25431,25443,25424,25425,25435,25447,25428,25429
202111121035,25425,25425,25390,25393,25429,25429,25393,25397
202111121036,25394,25406,25384,25395,25397,25410,25388,25399
202111121037,25395,25405,25390,25392,25399,25409,25394,25395
202111121038,25392,25392,25361,25369,25395,25395,25364,25372
202111121039,25370,25404,25370,25395,25373,25408,25373,25399
202111121040,25395,25401,25352,25360,25399,25405,25356,25364
202111121041,25361,25378,25353,25372,25365,25382,25357,25377
202111121042,25372,25418,25372,25416,25376,25422,25376,25419
202111121043,25416,25432,25404,25422,25419,25435,25408,25426
202111121044,25422,25441,25415,25437,25426,25444,25419,25440
202111121045,25440,25453,25420,25428,25443,25457,25423,25432
202111121046,25428,25436,25418,25423,25432,25440,25421,25427
202111121047,25423,25431,25407,25427,25427,25435,25411,25430
202111121048,25427,25427,25391,25393,25431,25431,25394,25396
202111121049,25393,25396,25358,25366,25396,25400,25361,25370
202111121050,25367,25394,25364,25380,25371,25398,25367,25384
202111121051,25383,25401,25367,25400,25387,25404,25371,25404
202111121052,25400,25409,25376,25398,25404,25413,25379,25401
202111121053,25398,25413,25390,25400,25401,25417,25394,25404
202111121054,25400,25420,25392,25418,25404,25424,25395,25421
202111121055,25418,25436,25410,25434,25421,25440,25414,25437
202111121056,25434,25446,25415,25418,25437,25450,25418,25421
202111121057,25417,25433,25400,25429,25421,25437,25404,25432
202111121058,25429,25460,25429,25451,25432,25464,25432,25455
202111121059,25451,25455,25437,25442,25455,25458,25440,25445
202111121100,25444,25447,25423,25430,25448,25450,25426,25433
202111121101,25430,25438,25397,25402,25433,25441,25401,25406
202111121102,25402,25420,25402,25403,25406,25424,25406,25407
202111121103,25404,25410,25390,25392,25408,25414,25393,25397
202111121104,25392,25410,25392,25401,25397,25414,25397,25404
202111121105,25401,25426,25400,25425,25404,25430,25403,25429
202111121106,25425,25426,25400,25403,25429,25429,25403,25407
202111121107,25402,25411,25387,25389,25406,25415,25391,25392
202111121108,25389,25403,25376,25377,25392,25406,25380,25381
202111121109,25375,25382,25367,25374,25378,25386,25371,25378
202111121110,25373,25380,25361,25362,25377,25383,25365,25366
202111121111,25362,25382,25355,25382,25366,25386,25358,25386
202111121112,25380,25388,25363,25374,25384,25392,25367,25379
202111121113,25374,25382,25362,25377,25379,25385,25366,25380
202111121114,25377,25392,25372,25372,25380,25395,25375,25375
202111121115,25372,25382,25365,25373,25375,25386,25368,25377
202111121116,25374,25380,25334,25337,25378,25384,25338,25341
202111121117,25337,25350,25335,25339,25341,25353,25339,25342
202111121118,25340,25345,25325,25330,25344,25349,25328,25333
202111121119,25331,25341,25316,25328,25334,25345,25319,25332
202111121120,25328,25328,25311,25316,25332,25332,25315,25321
202111121121,25316,25331,25312,25330,25321,25335,25315,25333
202111121122,25330,25330,25306,25309,25333,25333,25309,25312
202111121123,25309,25333,25304,25324,25312,25336,25308,25328
202111121124,25322,25358,25321,25357,25325,25362,25325,25360
202111121125,25358,25376,25344,25376,25362,25379,25347,25379
202111121126,25376,25378,25360,25368,25379,25381,25363,25372
202111121127,25368,25372,25353,25357,25372,25375,25356,25360
202111121128,25357,25359,25344,25347,25361,25362,25347,25351
202111121129,25347,25362,25340,25340,25351,25366,25343,25343
202111121130,25340,25372,25337,25369,25343,25376,25341,25373
202111121131,25369,25394,25369,25383,25372,25398,25372,25387
202111121132,25383,25387,25374,25377,25387,25390,25378,25381
202111121133,25377,25387,25353,25355,25381,25391,25357,25359
202111121134,25357,25366,25354,25357,25361,25370,25358,25360
202111121135,25357,25358,25331,25346,25360,25361,25334,25350
202111121136,25346,25355,25338,25343,25350,25360,25342,25347
202111121137,25342,25350,25327,25330,25346,25354,25331,25334
202111121138,25330,25343,25329,25343,25334,25347,25332,25347
202111121139,25343,25353,25323,25332,25347,25358,25326,25336
202111121140,25332,25357,25331,25347,25335,25360,25335,25351
202111121141,25347,25348,25329,25333,25351,25352,25332,25337
202111121142,25333,25354,25333,25344,25337,25358,25337,25348
202111121143,25343,25352,25336,25338,25347,25355,25340,25341
202111121144,25338,25345,25328,25340,25341,25349,25331,25344
202111121145,25340,25365,25340,25353,25344,25369,25343,25357
202111121146,25354,25357,25344,25344,25357,25360,25347,25347
202111121147,25344,25363,25340,25349,25347,25366,25343,25353
202111121148,25349,25363,25346,25356,25353,25367,25350,25360
202111121149,25356,25363,25346,25347,25360,25367,25349,25350
202111121150,25347,25360,25346,25359,25350,25364,25349,25363
202111121151,25359,25368,25353,25367,25363,25371,25357,25371
202111121152,25369,25370,25350,25353,25372,25374,25354,25357
202111121153,25353,25357,25345,25345,25357,25360,25348,25349
202111121154,25345,25349,25329,25341,25349,25353,25332,25344
202111121155,25343,25348,25331,25348,25347,25351,25335,25351
202111121156,25348,25349,25335,25337,25351,25352,25339,25341
202111121157,25337,25350,25337,25345,25341,25354,25341,25348
202111121158,25345,25346,25331,25338,25348,25349,25334,25341
202111121159,25338,25347,25332,25344,25341,25351,25336,25348
202111121200,25344,25349,25321,25321,25348,25353,25324,25324
202111121201,25320,25321,25301,25310,25324,25324,25305,25313
202111121202,25310,25322,25305,25305,25313,25325,25308,25308
202111121203,25306,25308,25300,25305,25309,25312,25304,25309
202111121204,25305,25305,25287,25288,25309,25309,25291,25291
202111121205,25288,25290,25274,25274,25291,25293,25277,25277
202111121206,25274,25274,25257,25259,25277,25277,25260,25263
202111121207,25258,25264,25255,25256,25262,25267,25258,25260
202111121208,25256,25259,25248,25252,25260,25263,25251,25256
202111121209,25252,25270,25250,25265,25256,25274,25254,25269
202111121210,25265,25283,25258,25279,25269,25286,25261,25283
202111121211,25279,25287,25274,25278,25283,25290,25278,25281
202111121212,25278,25279,25265,25267,25281,25283,25268,25270
202111121213,25267,25267,25256,25262,25270,25270,25260,25266
202111121214,25262,25262,25250,25252,25266,25266,25253,25255
202111121215,25252,25270,25250,25269,25255,25274,25253,25272
202111121216,25269,25269,25254,25257,25272,25272,25257,25261
202111121217,25258,25268,25251,25264,25262,25271,25255,25268
202111121218,25264,25265,25255,25259,25268,25268,25259,25262
202111121219,25259,25264,25254,25257,25262,25267,25257,25260
202111121220,25255,25265,25255,25258,25259,25269,25259,25261
202111121221,25258,25273,25257,25272,25261,25277,25260,25276
202111121222,25272,25274,25262,25262,25276,25277,25265,25265
202111121223,25263,25273,25261,25272,25267,25276,25264,25275
202111121224,25272,25276,25266,25269,25275,25279,25269,25272
202111121225,25269,25270,25261,25266,25272,25273,25264,25270
202111121226,25265,25280,25265,25280,25269,25283,25269,25283
202111121227,25280,25285,25275,25281,25283,25288,25279,25284
202111121228,25281,25285,25276,25285,25284,25289,25280,25289
202111121229,25285,25295,25285,25287,25289,25299,25289,25291
202111121230,25287,25287,25279,25285,25291,25291,25282,25288
202111121231,25286,25289,25281,25287,25289,25293,25285,25291
202111121232,25287,25294,25285,25293,25291,25297,25289,25296
202111121233,25292,25304,25291,25304,25295,25307,25295,25307
202111121234,25304,25319,25298,25318,25307,25322,25301,25321
202111121235,25318,25320,25311,25317,25321,25323,25314,25321
202111121236,25317,25323,25314,25323,25321,25326,25317,25326
202111121237,25323,25328,25316,25325,25326,25331,25320,25329
202111121238,25324,25330,25317,25319,25327,25333,25321,25323
202111121239,25319,25324,25317,25319,25323,25327,25320,25323
202111121240,25319,25322,25304,25306,25323,25325,25307,25309
202111121241,25306,25307,25292,25296,25309,25311,25296,25300
202111121242,25296,25300,25289,25291,25300,25304,25292,25294
202111121243,25291,25292,25284,25290,25294,25295,25288,25293
202111121244,25291,25292,25286,25291,25294,25295,25290,25295
202111121245,25291,25300,25286,25288,25295,25304,25290,25292
202111121246,25287,25293,25283,25289,25291,25297,25286,25293
202111121247,25289,25290,25284,25286,25292,25294,25288,25290
202111121248,25285,25286,25277,25277,25289,25290,25280,25280
202111121249,25277,25280,25269,25270,25280,25284,25273,25273
202111121250,25270,25278,25270,25276,25273,25281,25273,25280
202111121251,25277,25277,25269,25274,25281,25281,25273,25277
202111121252,25274,25274,25270,25270,25277,25277,25273,25273
202111121253,25270,25276,25270,25272,25273,25279,25273,25276
202111121254,25272,25280,25271,25278,25276,25283,25275,25282
202111121255,25279,25283,25276,25281,25283,25287,25280,25285
202111121256,25282,25285,25280,25284,25286,25290,25283,25287
202111121257,25284,25284,25279,25283,25287,25288,25284,25287
202111121258,25283,25290,25283,25289,25287,25294,25287,25292
202111121259,25289,25289,25282,25283,25292,25293,25286,25290
202111121400,25286,25298,25269,25273,25293,25301,25273,25278
202111121401,25273,25278,25264,25265,25278,25282,25267,25269
202111121402,25265,25265,25251,25251,25269,25269,25254,25254
202111121403,25251,25257,25244,25245,25254,25262,25247,25249
202111121404,25245,25252,25242,25242,25249,25255,25245,25245
202111121405,25242,25244,25231,25244,25245,25248,25234,25248
202111121406,25245,25251,25242,25242,25248,25255,25245,25245
202111121407,25242,25247,25233,25235,25245,25250,25236,25239
202111121408,25235,25244,25231,25243,25239,25247,25234,25247
202111121409,25242,25249,25237,25246,25246,25253,25241,25249
202111121410,25246,25252,25240,25241,25249,25256,25243,25245
202111121411,25241,25243,25231,25231,25245,25247,25234,25234
202111121412,25232,25232,25204,25214,25236,25236,25208,25218
202111121413,25213,25214,25196,25197,25217,25217,25199,25200
202111121414,25197,25210,25194,25199,25200,25213,25198,25203
202111121415,25199,25203,25180,25195,25203,25206,25183,25199
202111121416,25195,25198,25185,25188,25199,25202,25188,25192
202111121417,25188,25192,25183,25190,25192,25195,25186,25193
202111121418,25191,25209,25190,25208,25194,25213,25194,25212
202111121419,25208,25228,25201,25226,25212,25231,25204,25230
202111121420,25226,25231,25214,25227,25230,25235,25217,25231
202111121421,25227,25255,25224,25239,25231,25258,25228,25243
202111121422,25240,25249,25238,25249,25244,25252,25241,25252
202111121423,25249,25266,25248,25260,25252,25269,25252,25263
202111121424,25260,25260,25245,25254,25263,25263,25249,25258
202111121425,25254,25263,25247,25250,25258,25266,25250,25254
202111121426,25251,25256,25244,25247,25255,25260,25247,25251
202111121427,25247,25249,25234,25240,25251,25253,25237,25243
202111121428,25240,25245,25234,25239,25243,25249,25238,25243
202111121429,25239,25251,25226,25226,25243,25254,25230,25230
202111121430,25226,25234,25224,25233,25230,25238,25228,25236
202111121431,25235,25238,25226,25231,25238,25241,25229,25234
202111121432,25232,25232,25222,25227,25235,25235,25225,25230
202111121433,25227,25246,25219,25245,25230,25250,25223,25249
202111121434,25245,25253,25235,25251,25249,25257,25238,25254
202111121435,25251,25261,25247,25258,25254,25264,25250,25262
202111121436,25258,25259,25250,25255,25262,25263,25253,25259
202111121437,25254,25257,25237,25238,25258,25260,25241,25241
202111121438,25238,25252,25234,25252,25241,25256,25238,25256
202111121439,25251,25259,25248,25257,25255,25263,25251,25260
202111121440,25257,25259,25250,25256,25260,25262,25253,25259
202111121441,25256,25259,25250,25255,25259,25262,25253,25258
202111121442,25255,25269,25254,25268,25258,25273,25258,25271
202111121443,25268,25270,25257,25267,25271,25274,25260,25270
202111121444,25267,25275,25262,25273,25270,25278,25265,25277
202111121445,25272,25285,25271,25284,25276,25288,25274,25288
202111121446,25283,25285,25270,25279,25287,25288,25273,25283
202111121447,25279,25279,25270,25276,25283,25283,25273,25280
202111121448,25276,25286,25276,25280,25280,25289,25280,25284
202111121449,25280,25280,25270,25276,25284,25284,25273,25280
202111121450,25276,25284,25274,25283,25280,25287,25278,25287
202111121451,25283,25286,25271,25273,25287,25289,25275,25277
202111121452,25273,25276,25267,25270,25277,25280,25270,25273
202111121453,25270,25288,25269,25285,25273,25291,25273,25289
202111121454,25285,25287,25278,25284,25289,25291,25281,25288
202111121455,25284,25291,25284,25286,25288,25295,25288,25290
202111121456,25286,25290,25282,25282,25290,25294,25286,25286
202111121457,25282,25285,25272,25276,25286,25289,25275,25280
202111121458,25277,25280,25273,25279,25281,25284,25277,25282
202111121459,25279,25287,25272,25286,25282,25290,25276,25289
202111121500,25286,25286,25270,25271,25289,25289,25274,25275
202111121501,25271,25271,25244,25244,25275,25275,25249,25249
202111121502,25244,25255,25244,25250,25249,25259,25248,25253
202111121503,25250,25274,25250,25274,25253,25278,25253,25278
202111121504,25274,25297,25274,25294,25277,25301,25277,25297
202111121505,25294,25294,25281,25286,25297,25297,25284,25290
202111121506,25286,25287,25269,25275,25290,25291,25272,25279
202111121507,25275,25275,25263,25267,25278,25278,25267,25271
202111121508,25267,25283,25267,25279,25271,25287,25271,25283
202111121509,25279,25280,25260,25273,25283,25283,25264,25277
202111121510,25273,25273,25255,25259,25277,25277,25258,25263
202111121511,25260,25267,25253,25265,25264,25271,25256,25269
202111121512,25265,25272,25260,25263,25269,25275,25264,25267
202111121513,25262,25262,25233,25238,25265,25266,25236,25241
202111121514,25238,25249,25237,25248,25241,25253,25241,25253
202111121515,25248,25254,25241,25253,25253,25258,25245,25257
202111121516,25253,25261,25252,25260,25257,25265,25255,25264
202111121517,25260,25267,25258,25262,25264,25271,25261,25266
202111121518,25262,25263,25253,25254,25266,25267,25257,25258
202111121519,25255,25264,25255,25262,25259,25268,25259,25265
202111121520,25262,25265,25248,25251,25265,25268,25252,25254
202111121521,25251,25259,25249,25257,25254,25262,25253,25260
202111121522,25257,25260,25250,25254,25260,25263,25254,25257
202111121523,25253,25262,25249,25259,25256,25265,25253,25263
202111121524,25259,25264,25255,25261,25263,25268,25259,25264
202111121525,25261,25272,25260,25271,25264,25276,25264,25274
202111121526,25271,25286,25269,25285,25274,25289,25272,25289
202111121527,25286,25286,25279,25280,25290,25290,25283,25284
202111121528,25280,25281,25270,25276,25284,25285,25273,25280
202111121529,25276,25276,25270,25274,25280,25280,25273,25278
202111121530,25274,25281,25272,25280,25278,25285,25276,25284
202111121531,25280,25284,25277,25283,25284,25288,25280,25286
202111121532,25283,25283,25269,25270,25286,25286,25273,25273
202111121533,25270,25276,25265,25266,25273,25279,25269,25270
202111121534,25265,25266,25246,25258,25269,25269,25250,25262
202111121535,25259,25273,25259,25269,25263,25277,25263,25272
202111121536,25269,25272,25253,25260,25272,25275,25257,25263
202111121537,25259,25265,25257,25260,25263,25269,25261,25264
202111121538,25260,25269,25257,25269,25264,25274,25260,25273
202111121539,25269,25269,25258,25258,25273,25273,25261,25261
202111121540,25258,25262,25252,25257,25262,25265,25256,25262
202111121541,25257,25265,25252,25265,25262,25268,25255,25268
202111121542,25265,25265,25253,25256,25268,25268,25256,25259
202111121543,25256,25269,25253,25269,25259,25273,25257,25273
202111121544,25269,25271,25261,25271,25273,25274,25265,25274
202111121545,25271,25272,25263,25270,25274,25276,25267,25273
202111121546,25269,25272,25264,25268,25272,25275,25268,25272
202111121547,25269,25272,25264,25270,25273,25275,25268,25273
202111121548,25270,25274,25263,25268,25273,25277,25269,25271
202111121549,25268,25275,25264,25269,25271,25279,25267,25272
202111121550,25269,25271,25261,25266,25272,25275,25265,25269
202111121551,25266,25268,25259,25259,25269,25271,25263,25263
202111121552,25259,25265,25251,25251,25263,25268,25254,25255
202111121553,25250,25262,25250,25254,25254,25265,25254,25258
202111121554,25255,25283,25255,25283,25259,25287,25259,25287
202111121555,25283,25283,25268,25270,25287,25287,25271,25273
202111121556,25270,25271,25263,25267,25273,25275,25267,25270
202111121557,25267,25271,25259,25266,25270,25274,25262,25270
202111121558,25266,25283,25266,25283,25270,25286,25270,25286
202111121559,25285,25286,25273,25277,25288,25289,25277,25280
202111121600,25277,25282,25272,25277,25280,25286,25275,25281
202111121601,25276,25290,25274,25290,25280,25293,25279,25293
202111121602,25290,25294,25281,25284,25293,25298,25285,25288
202111121603,25284,25285,25276,25279,25288,25289,25280,25282
202111121604,25279,25282,25274,25279,25282,25285,25277,25283
202111121605,25278,25287,25278,25287,25282,25290,25281,25290
202111121606,25287,25294,25279,25279,25290,25298,25283,25283
202111121607,25279,25288,25278,25286,25283,25291,25281,25289
202111121608,25287,25288,25284,25287,25290,25291,25287,25291
202111121609,25287,25292,25285,25289,25291,25296,25289,25292
202111121610,25289,25294,25286,25294,25292,25298,25290,25298
202111121611,25295,25309,25294,25305,25298,25313,25298,25308
202111121612,25305,25323,25305,25319,25308,25326,25308,25322
202111121613,25319,25325,25315,25323,25322,25328,25318,25327
202111121614,25324,25324,25315,25322,25327,25327,25318,25325
202111121615,25322,25336,25320,25333,25325,25339,25324,25336
202111121616,25333,25335,25323,25328,25336,25339,25327,25331
202111121617,25328,25329,25313,25313,25331,25332,25316,25316
202111121618,25313,25318,25311,25317,25316,25321,25315,25320
202111121619,25317,25325,25311,25325,25320,25328,25314,25328
202111121620,25325,25325,25311,25311,25328,25328,25314,25314
202111121621,25311,25314,25303,25310,25314,25317,25306,25313
202111121622,25310,25316,25304,25313,25313,25319,25307,25317
202111121623,25313,25320,25308,25320,25317,25323,25312,25323
202111121624,25320,25331,25319,25323,25323,25334,25322,25326
202111121625,25323,25326,25319,25324,25326,25329,25322,25328
202111121626,25324,25325,25318,25325,25328,25328,25322,25328
202111121627,25325,25330,25324,25328,25328,25333,25328,25331
202111121628,25328,25330,25322,25326,25331,25333,25325,25329
202111121629,25326,25335,25326,25333,25329,25339,25329,25336
202111121630,25332,25338,25331,25338,25335,25341,25335,25341
202111121631,25338,25346,25338,25345,25341,25349,25341,25348
202111121632,25345,25346,25331,25331,25348,25349,25334,25335
202111121633,25332,25337,25315,25317,25335,25340,25318,25320
202111121634,25317,25325,25312,25315,25320,25328,25315,25318
202111121635,25315,25315,25296,25296,25318,25318,25299,25299
202111121636,25296,25313,25296,25313,25299,25316,25299,25316
202111121637,25313,25321,25308,25311,25316,25325,25311,25315
202111121638,25311,25315,25308,25310,25315,25319,25311,25314
202111121639,25309,25309,25303,25307,25313,25313,25307,25310
202111121640,25307,25308,25300,25302,25310,25311,25304,25306
202111121641,25302,25306,25292,25305,25306,25309,25296,25309
202111121642,25305,25307,25297,25305,25309,25311,25301,25308
202111121643,25305,25311,25303,25311,25308,25315,25307,25315
202111121644,25311,25313,25306,25311,25315,25316,25309,25314
202111121645,25310,25312,25295,25296,25314,25316,25299,25299
202111121646,25296,25307,25292,25302,25299,25311,25295,25305
202111121647,25302,25304,25299,25301,25305,25307,25302,25304
202111121648,25301,25303,25295,25299,25304,25307,25298,25303
202111121649,25299,25304,25297,25304,25303,25308,25300,25307
202111121650,25304,25306,25297,25299,25307,25310,25301,25302
202111121651,25299,25299,25280,25281,25303,25303,25284,25284
202111121652,25282,25282,25269,25279,25285,25285,25272,25282
202111121653,25279,25280,25263,25264,25282,25284,25267,25268
202111121654,25265,25274,25262,25266,25268,25277,25265,25269
202111121655,25266,25273,25263,25269,25269,25276,25266,25273
202111121656,25269,25276,25264,25269,25273,25279,25267,25273
202111121657,25268,25283,25267,25281,25272,25286,25270,25284
202111121658,25281,25282,25270,25275,25284,25285,25273,25278
202111121659,25275,25283,25273,25282,25278,25287,25276,25285
202111121700,25282,25288,25267,25274,25285,25291,25270,25278
202111121701,25274,25297,25274,25296,25278,25301,25278,25299
202111121702,25296,25296,25280,25283,25299,25299,25284,25287
202111121703,25284,25286,25275,25286,25288,25290,25278,25290
202111121704,25285,25291,25274,25283,25289,25295,25278,25286
202111121705,25283,25291,25282,25289,25286,25295,25286,25292
202111121706,25289,25297,25288,25297,25292,25301,25292,25301
202111121707,25297,25306,25296,25303,25301,25309,25299,25307
202111121708,25303,25330,25301,25328,25307,25334,25305,25331
202111121709,25328,25328,25319,25320,25331,25332,25322,25323
202111121710,25321,25323,25313,25314,25325,25326,25317,25317
202111121711,25314,25318,25306,25315,25317,25321,25309,25318
202111121712,25315,25315,25303,25304,25318,25318,25307,25308
202111121713,25304,25307,25301,25302,25308,25310,25304,25306
202111121714,25302,25306,25297,25298,25306,25309,25300,25302
